Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,9687.82,116253.84,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,5558.599999999999,66703.20,USD,,"Storage amount (2 TB), Storage volume (General Purpose SSD (gp2)), Nodes (2), Instance Type (db.m4.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,987.3,11847.60,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,1910.08,22920.96,USD,,"Data transfer out to internet (20 TB per month), Data transfer out to origin (1 TB per month), Number of requests (HTTPS) (200000000 per month)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,1150.188,13802.26,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 12), Advance EC2 instance (c6g.2xlarge), Pricing strategy (Compute Savings Plans 3yr  No Upfront), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,81.65,979.80,USD,,"PUT, COPY, POST, LIST requests to S3 Standard (10000000), GET, SELECT, and all other requests from S3 Standard (10000000), Data returned by S3 Select (10 TB per month), Data scanned by S3 Select (10 TB per month)"
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
